text,category
what alarms do i have set right now,alarm_query
checkout today alarm of meeting,alarm_query
report alarm settings,alarm_query
see see for me the alarms that you have set tomorrow morning,alarm_query
is there an alarm for ten am,alarm_query
confirm the alarm time,alarm_query
show my alarms,alarm_query
at what time have you set alarm for me,alarm_query
please list active alarms,alarm_query
please tell me about upcoming alarms,alarm_query
what alarms have i set for tomorrow,alarm_query
have i set any alarm for today,alarm_query
what alarms do you have set,alarm_query
show me all scheduled alarms,alarm_query
could you tell me about the alerts i have set,alarm_query
show me my alarms i have set,alarm_query
do i have any alarms for tomorrow morning,alarm_query
what alarm do i have set for today,alarm_query
what alarms have been set for me,alarm_query
list all set alarms,alarm_query
please tell me my alarms,alarm_query
what is the wake up time for my alarm i have set for the flight this weekend,alarm_query
did i set an alarm to wake up in the morning,alarm_query
what times do my alarms go off,alarm_query
what time is my wakeup alarm set for,alarm_query
please read out all the alarms that are set,alarm_query
what time are my alarms set for,alarm_query
how many alarms do i have set,alarm_query
are there any alarms currently set,alarm_query
confirm alarm for tomorrow morning,alarm_query
do i have an alarm set for morning flight,alarm_query
what's my next scheduled alarm,alarm_query
do i have any alarms set for tomorrow,alarm_query
please check alarms,alarm_query
what alarms do i have set,alarm_query
do i have an alarm set,alarm_query
show me the list of alarms,alarm_query
just to confirm you set the alarm to go off at eight hundred,alarm_query
did i set my house alarm,alarm_query
what are the next three alarms set to go off,alarm_query
check if alarm is set for six am,alarm_query
is the alarm to the backdoor set and ready to go,alarm_query
what time do i have my alarm set for tomorrow,alarm_query
what's the description for the alarm at eleven am,alarm_query
are there any alarms set,alarm_query
are there any alarms set right now,alarm_query
are there any alarms,alarm_query
do i have alarms set for today,alarm_query
how many alarms are listed,alarm_query
remind me about my alarms today,alarm_query
list alarms,alarm_query
how many alarms do i have,alarm_query
just see for me the alarms that you have set today morning,alarm_query
what alarms are on right now,alarm_query
please tell about the alarms,alarm_query
review set alarms,alarm_query
is my work alarm set for tomorrow,alarm_query
what alarms are set,alarm_query
what time are my alarms,alarm_query
which alarms are set in the phone,alarm_query
is my alarm set for tomorrow morning,alarm_query
check if any alarm is there after five am,alarm_query
what alarms do i have set for thursday,alarm_query
checkout today set alarm of ten am,alarm_query
is my school alarm set,alarm_query
tell me if my alarm is set for the morning,alarm_query
do i have an alarm set for tomorrow,alarm_query
what alarms do i have,alarm_query
when was the last alarm set,alarm_query
today how many alarms do i have set,alarm_query
how many alarms do i have set for morning hours between six and nine am,alarm_query
what is tomorrow's alarm time set to,alarm_query
please let me know the morning alarm time for weekdays,alarm_query
read me my alarms,alarm_query
is there any alarm after five am,alarm_query
what days are my alarms set for,alarm_query
confirm i have set an alarm for six am,alarm_query
what alarms did i set,alarm_query
what alarms do i got,alarm_query
show me the alarms that are set,alarm_query
tell me about alarms,alarm_query
checkout today third set alarm,alarm_query
how many alarms are currently set,alarm_query
are there any alarms set what are they,alarm_query
is my alarm set,alarm_query
tell me what alarms are set for me,alarm_query
next alarm,alarm_query
when is the next alarm,alarm_query
show alarms,alarm_query
let me know about any alarms set today,alarm_query
confirm my alarm settings,alarm_query
give me the alarm times for the next two days,alarm_query
what alarms are set in the house,alarm_query
do i have any alarms,alarm_query
have i set any alarms in the morning,alarm_query
check if i have set any alarm for morning,alarm_query
list all of my upcoming alarms,alarm_query
my alarms,alarm_query
do i have any alarms set for six am tomorrow,alarm_query
how many alarms are currently on my phone,alarm_query
any alarms currently listed,alarm_query
did i remember to set a reminder alarm for my next doctor's appointment,alarm_query
what time is set for my wake up alarm,alarm_query
what alarms are set for this week,alarm_query
what is on my alarm schedule,alarm_query
show me all of my active alarms,alarm_query
what alarms are currently set,alarm_query
review the alarms i have,alarm_query
what's the alarm situation for tomorrow,alarm_query
i want to see all set alarms,alarm_query
do i have an alarm set for today,alarm_query
at what time is my alarm set,alarm_query
can you tell me if i have any alarms set,alarm_query
did I set an alarm to have tablets in the noon,alarm_query
which alarms do i have,alarm_query
show me the alarms i set,alarm_query
what time is my alarm set for,alarm_query
is my wake up alarm set a six am,alarm_query
what home alarms have been set,alarm_query
please read me my alarms,alarm_query
what times are my alarms set for,alarm_query
when will my alarm go off in the morning,alarm_query
do i have any alarms set for today,alarm_query
show me what alarm times i've set for the week,alarm_query
list current set alarms,alarm_query
are there any alarms going off today,alarm_query
show me the alarms i've set,alarm_query
my set alarms,alarm_query
what alarms will wake me up tomorrow,alarm_query
have i got any alarms set,alarm_query
what alarms i have set,alarm_query
tell me about the alarm timings,alarm_query
alarms,alarm_query
when does my alarm go off,alarm_query
would you please check to see if i've set my alarm for tomorrow morning,alarm_query
alarm status,alarm_query
what time have you set the alarm,alarm_query
list my different alarm,alarm_query
what time i am waking up tomorrow,alarm_query
what alarms did i set today,alarm_query
what alarms are coming up,alarm_query
if there any alarm is set then let me know,alarm_query
review all alarms,alarm_query
is the alarm set for tomorrow morning,alarm_query
what time is alarm set for,alarm_query
do i have alarms set,alarm_query
what time is my alarm set for tomorrow morning,alarm_query
is my reminder alarm set for dance class,alarm_query
when is my alarm set for,alarm_query
what time will my alarm wake me up,alarm_query
how many alarms are set,alarm_query
how many alarms have i set,alarm_query
what time will my alarm go off today,alarm_query
please let me know the alarm kept for tuesday's meeting,alarm_query
let me know about the alarms you set,alarm_query
what alarms do i have set for today,alarm_query
what's my next alarm,alarm_query
let me see my alarms,alarm_query
delete alarm,alarm_remove
remove the latest alarm,alarm_remove
stop wake up calls for this week,alarm_remove
remove the first alarm,alarm_remove
remove my earliest alarm for tomorrow,alarm_remove
kickball is over i do not need the alarm for kickball on wednesday evening any longer,alarm_remove
remove all alarms,alarm_remove
take off my alarms,alarm_remove
cancel my seven am alarm,alarm_remove
disable all alarms set for today,alarm_remove
olly cancel alarms,alarm_remove
snooze all today's alarms permanently,alarm_remove
remove my work alarm,alarm_remove
one pm removed,alarm_remove
olly cancel yoga alarms,alarm_remove
do not wake me up on weekends,alarm_remove
remove wake up calls for this week,alarm_remove
cancel my alarm for tomorrow morning,alarm_remove
reset the alarm,alarm_remove
remove tomorrow's alarm,alarm_remove
remove my four am alarm,alarm_remove
cancel my eight am alarm,alarm_remove
delete the meeting alarm at two pm on tuesday,alarm_remove
please remove this alarm,alarm_remove
remove six am alarm of whole week for future,alarm_remove
twelve am removed,alarm_remove
cancel my three pm alarm,alarm_remove
please remove the alarm which i set for today morning,alarm_remove
cancel alarm for tomorrow,alarm_remove
remove number three alarm of list,alarm_remove
cancel wake up calls for this week,alarm_remove
please remove the the alarm which i set,alarm_remove
Get rid of my current alarms,alarm_remove
please remove the alarm that is set for weekdays at nine,alarm_remove
remove tuesday alarm of nine am,alarm_remove
get rid of my eight am alarm,alarm_remove
clear my nine am alarms,alarm_remove
remove alarm of six am on tuesday,alarm_remove
turn off all of my alarms,alarm_remove
get rid of my wake up alarm set for saturday,alarm_remove
